h3_index,classification
823b27fffffffff,ocean
823d57fffffffff,land
82be77fffffffff,coast
82a037fffffffff,ocean
829f0ffffffffff,ocean
82a427fffffffff,ocean
82f2effffffffff,land
826b77fffffffff,land
825d9ffffffffff,ocean
820c17fffffffff,coast
825c37fffffffff,ocean
822b17fffffffff,coast
823ccffffffffff,land
820987fffffffff,coast
820c37fffffffff,coast
82ae07fffffffff,ocean
8295a7fffffffff,coast
82e8effffffffff,ocean
829c1ffffffffff,coast
821647fffffffff,ocean
82b0d7fffffffff,ocean
82005ffffffffff,ocean
828d0ffffffffff,ocean
821e77fffffffff,land
82562ffffffffff,ocean
8216f7fffffffff,ocean
82d537fffffffff,ocean
8268cffffffffff,coast
82e117fffffffff,ocean
82b88ffffffffff,land
8269b7fffffffff,ocean
82e2d7fffffffff,ocean
8259a7fffffffff,land
826faffffffffff,ocean
82c527fffffffff,ocean
826b5ffffffffff,land
824017fffffffff,land
823f97fffffffff,land
82e797fffffffff,ocean
827ca7fffffffff,ocean
82261ffffffffff,land
82ea9ffffffffff,ocean
82e16ffffffffff,coast
825287fffffffff,land
825f57fffffffff,coast
827417fffffffff,ocean
82d0effffffffff,ocean
82af37fffffffff,ocean
826527fffffffff,coast
82e85ffffffffff,ocean
828a67fffffffff,land
8268a7fffffffff,coast
82bf07fffffffff,ocean
82cd5ffffffffff,ocean
82ce6ffffffffff,ocean
82a0dffffffffff,coast
827857fffffffff,ocean
82c65ffffffffff,ocean
82c5affffffffff,ocean
8200effffffffff,ocean
82129ffffffffff,coast
82bc87fffffffff,ocean
82b897fffffffff,land
82be17fffffffff,ocean
82bc6ffffffffff,coast
829a2ffffffffff,ocean
82b60ffffffffff,ocean
827cb7fffffffff,ocean
82244ffffffffff,land
82ad1ffffffffff,ocean
824e97fffffffff,ocean
82579ffffffffff,ocean
824207fffffffff,coast
8200dffffffffff,ocean
825a8ffffffffff,ocean
826ecffffffffff,ocean
8237b7fffffffff,ocean
8281b7fffffffff,ocean
826d17fffffffff,coast
82db87fffffffff,coast
82201ffffffffff,land
827137fffffffff,ocean
82b647fffffffff,ocean
82705ffffffffff,ocean
829aaffffffffff,ocean
826037fffffffff,coast
820c67fffffffff,land
828a0ffffffffff,land
824d67fffffffff,ocean
825c0ffffffffff,ocean
8287b7fffffffff,ocean
8275b7fffffffff,coast
828ef7fffffffff,ocean
82e86ffffffffff,ocean
822667fffffffff,land
82495ffffffffff,ocean
8272effffffffff,ocean
8248d7fffffffff,land
828d47fffffffff,ocean
82c60ffffffffff,ocean
827ec7fffffffff,ocean
82d8cffffffffff,ocean
82e587fffffffff,ocean
82a177fffffffff,ocean
823a5ffffffffff,ocean
82419ffffffffff,land
828737fffffffff,ocean
82ab67fffffffff,ocean
825147fffffffff,ocean
82a91ffffffffff,coast
824767fffffffff,ocean
828c67fffffffff,ocean
8280a7fffffffff,coast
828f07fffffffff,ocean
825017fffffffff,ocean
826d07fffffffff,coast
82596ffffffffff,land
821e07fffffffff,land
82c4f7fffffffff,ocean
82a897fffffffff,coast
82b047fffffffff,ocean
82b50ffffffffff,ocean
821b07fffffffff,ocean
82c21ffffffffff,coast
82d81ffffffffff,ocean
82a987fffffffff,ocean
82619ffffffffff,coast
825e8ffffffffff,ocean
821787fffffffff,ocean
828477fffffffff,ocean
82be0ffffffffff,coast
82e277fffffffff,ocean
823c17fffffffff,land
8226d7fffffffff,land
82d477fffffffff,ocean
82f2a7fffffffff,coast
82b977fffffffff,ocean
82d84ffffffffff,ocean
824e67fffffffff,ocean
822a6ffffffffff,ocean
82e747fffffffff,coast
82070ffffffffff,ocean
827167fffffffff,ocean
824f9ffffffffff,ocean
82a017fffffffff,ocean
820b4ffffffffff,coast
82472ffffffffff,ocean
8290affffffffff,ocean
820557fffffffff,ocean
8262e7fffffffff,ocean
827cdffffffffff,ocean
829a67fffffffff,coast
822a67fffffffff,ocean
824f4ffffffffff,ocean
82ee07fffffffff,ocean
825047fffffffff,ocean
8266c7fffffffff,land
822527fffffffff,land
823c1ffffffffff,land
82456ffffffffff,coast
82321ffffffffff,ocean
82c7affffffffff,ocean
82652ffffffffff,coast
8297affffffffff,land
826a17fffffffff,land
82e3affffffffff,ocean
8236e7fffffffff,ocean
8296effffffffff,land
82d597fffffffff,ocean
8245affffffffff,coast
82a4c7fffffffff,ocean
824f37fffffffff,ocean
82a787fffffffff,land
82491ffffffffff,ocean
82bb8ffffffffff,ocean
821d57fffffffff,ocean
825ed7fffffffff,ocean
82b737fffffffff,ocean
82eb6ffffffffff,ocean
823c5ffffffffff,land
820457fffffffff,ocean
82e807fffffffff,ocean
820967fffffffff,ocean
82e487fffffffff,ocean
82b2d7fffffffff,ocean
827587fffffffff,coast
821947fffffffff,coast
827737fffffffff,ocean
822eeffffffffff,coast
82a9a7fffffffff,ocean
820ca7fffffffff,coast
8294affffffffff,coast
826447fffffffff,ocean
82db1ffffffffff,ocean
828957fffffffff,ocean
826f4ffffffffff,ocean
8287a7fffffffff,ocean
822c57fffffffff,coast
820d57fffffffff,land
82dc07fffffffff,ocean
824b17fffffffff,ocean
825437fffffffff,coast
820a57fffffffff,land
827367fffffffff,ocean
826ccffffffffff,ocean
82cc97fffffffff,ocean
8263a7fffffffff,ocean
82d4dffffffffff,ocean
82e317fffffffff,ocean
825d27fffffffff,ocean
82b307fffffffff,coast
82546ffffffffff,land
82d09ffffffffff,ocean
825f6ffffffffff,land
827ecffffffffff,ocean
829867fffffffff,ocean
82564ffffffffff,ocean
82bcdffffffffff,land
82b4cffffffffff,ocean
822c9ffffffffff,coast
82f147fffffffff,land
8246a7fffffffff,ocean
820597fffffffff,land
825e07fffffffff,ocean
82cc2ffffffffff,ocean
825d4ffffffffff,ocean
82c6dffffffffff,ocean
820b87fffffffff,land
82355ffffffffff,ocean
822b0ffffffffff,coast
828017fffffffff,coast
82a0a7fffffffff,ocean
82d3a7fffffffff,ocean
8296e7fffffffff,land
821687fffffffff,ocean
828237fffffffff,coast
82832ffffffffff,ocean
823a57fffffffff,ocean
