dataset_id,Data providers,Contact Organizations,Total Occurrences
d6ae6af8-8eac-4fbd-9ce5-b49b1137351c,['University of Queensland'],"['University of Queensland', 'University of Queensland', 'University of Queensland', '']",3665
96041282-9386-4a8a-a564-fd753f1222b0,"['CSIRO National Collections and Marine Infrastructure', 'CSIRO Environment']","['CSIRO Environment', 'CSIRO Environment', 'CSIRO Environment', 'CSIRO National Collections and Marine Infrastructure Data Centre']",19763
61dc18bb-e2ec-43a1-949c-120d58235b61,"['The Australian National University', 'CSIRO National Collections and Marine Infrastructure']","['Australian National University', 'Australian National University', '', 'Australian National University', 'CSIRO National Collections and Marine Infrastructure Data Centre']",1960
0c7b3f51-33c8-494c-ab8a-c5bd28f40f87,"['Delaware Museum of Nature and Science – Mollusks', 'Invert-E-Base Portal']","['Invert-E-Base Portal', 'Delaware Museum of Nature and Science – Mollusks', 'Invert-E-Base Portal', '', '']",34280
8ea620e9-37d5-4ff6-9a02-0bc94356c2d5,"['Invert-E-Base Portal', 'Malacology Collection at the Academy of Natural Sciences of Philadelphia']","['Invert-E-Base Portal', 'Malacology Collection at the Academy of Natural Sciences of Philadelphia', 'Invert-E-Base Portal', '']",164632
1e3ba2fc-7d13-4a24-8619-e94b243f9d2d,"['California Academy of Sciences', 'California Academy of Sciences']","['California Academy of Sciences', 'California Academy of Sciences', 'California Academy of Sciences']",6129
aa16d305-d413-4c4a-90be-b1ec3298d58d,['California Academy of Sciences'],"['California Academy of Sciences', 'California Academy of Sciences', 'California Academy of Sciences']",118474
d6af0fac-8a21-4d77-8872-f10d471fc0cf,['California Academy of Sciences'],"['California Academy of Sciences', 'California Academy of Sciences', 'California Academy of Sciences', 'California Academy of Sciences']",144094
9f7105b3-fe54-46ac-b3df-8c66877885c0,"['UNESCO-IOC', 'The University of the South Pacific']","['University of the South Pacific (USP)', 'University of the South Pacific (USP)', 'University of the South Pacific (USP)', 'IOC-UNESCO', 'IOC-UNESCO', 'IOC-UNESCO', 'IOC-UNESCO', '']",325
bbc947ad-48c0-4235-8398-3c92f0fc994a,"['UNESCO', 'University of the South Pacific']","['UNESCO', 'UNESCO', 'University of the South Pacific', 'University of the South Pacific', 'UNESCO', 'UNESCO', '']",200068
fbf4cb59-cef3-43be-b0ab-0dbab5f51740,"['University of California, Marine Science Institute , Santa Barbara', 'University of California, Santa Barbara', 'Univserity of California, Santa Cruz', 'University of California Los Angeles', 'United States Marine Biodiversity Observation Network', 'Central & Northern California Ocean Observing System', 'California State University, Fullerton', 'Cabrillo National Monument', 'Cal Poly Pomona', 'CeNCOOS/MBARI', 'Channel Islands National Park', 'Golden Gate National Recreation Area', 'Greater Farallones National Marine Sanctuary', 'Multi-Agency Rocky Intertidal Network (MARINe)', 'Navy Marine Ecology Consortium', 'Olympic Coast National Marine Sanctuary', 'Olympic National Park', 'Padilla Bay National Estuarine Research Reserve', 'Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)', 'Point Reyes National Seashore', 'University of Washington']","['Multi-Agency Rocky Intertidal Network (MARINe)', 'Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)', 'Univeristy of California, Santa Cruz', 'University of California, Los Angeles', 'University of California, Santa Barbara', 'California State University, Fullerton', 'Cal Poly Pomona', 'University of California, Santa Barbara, Marine Science Institute', 'Olympic Coast National Marine Sanctuary', 'University of Washington', 'Golden Gate National Recreation Area', 'Point Reyes National Seashore', 'Olympic National Park', 'Padilla Bay National Estuarine Research Reserve', 'MARINe/PISCO Research Group at UC Santa Cruz', 'Navy Marine Ecology Consortium', 'Cabrillo National Monument', 'Channel Islands National Park', 'Greater Farallones National Marine Sanctuary', 'MARINe/PISCO Research Group at UC Santa Cruz', 'MARINe/PISCO Research Group at UC Santa Cruz', 'CeNCOOS/MBARI', 'CeNCOOS/MBARI', 'MARINe/PISCO Research Group at UC Santa Cruz', 'CeNCOOS/MBARI', 'United States Marine Biodiversity Observation Network (US MBON)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",58324
438b8f02-3421-4b2c-a5b2-5934ab76f47b,"['University of California, Marine Science Institute , Santa Barbara', 'University of California, Santa Barbara', 'Univserity of California, Santa Cruz', 'University of California Los Angeles', 'Central & Northern California Ocean Observing System', 'California State University, Fullerton', 'Cabrillo National Monument', 'Cal Poly Pomona', 'CeNCOOS/MBARI', 'Channel Islands National Park', 'Golden Gate National Recreation Area', 'Greater Farallones National Marine Sanctuary', 'Multi-Agency Rocky Intertidal Network (MARINe)', 'Navy Marine Ecology Consortium', 'Olympic Coast National Marine Sanctuary', 'Olympic National Park', 'Padilla Bay National Estuarine Research Reserve', 'Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)', 'Point Reyes National Seashore', 'University of Washington']","['Multi-Agency Rocky Intertidal Network (MARINe)', 'Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)', 'Univeristy of California, Santa Cruz', 'University of California, Los Angeles', 'University of California, Santa Barbara', 'California State University, Fullerton', 'Cal Poly Pomona', 'University of California, Santa Barbara, Marine Science Institute', 'Olympic Coast National Marine Sanctuary', 'University of Washington', 'Golden Gate National Recreation Area', 'Point Reyes National Seashore', 'Olympic National Park', 'Padilla Bay National Estuarine Research Reserve', 'MARINe/PISCO Research Group at UC Santa Cruz', 'Navy Marine Ecology Consortium', 'Cabrillo National Monument', 'Channel Islands National Park', 'Greater Farallones National Marine Sanctuary', 'MARINe/PISCO Research Group at UC Santa Cruz', 'MARINe/PISCO Research Group at UC Santa Cruz', 'CeNCOOS/MBARI', 'CeNCOOS/MBARI', 'MARINe/PISCO Research Group at UC Santa Cruz', 'CeNCOOS/MBARI', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",17743
9d4650f0-dce2-4ad7-9dba-ae0a6ad378d3,"['ACAP Humber Arm', 'Observatoire global du Saint-Laurent']","['ACAP Humber Arm', 'ACAP Humber Arm', 'ACAP Humber Arm', 'Observatoire global du Saint-Laurent']",5368
0a0bdf56-fe37-47ec-9cd7-182cc6f21281,['Fisheries and Oceans Canada – Bedford Institute of Oceanography'],"['Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada']",636
4ac1f142-5de0-4b8f-86b1-717cd96dcd6b,"['Duke University', 'SEATURTLE.ORG', 'Proyecto Aegina']","['Proyecto Aegina', 'Proyecto Aegina', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Proyecto Aegina', 'seaturtle.org', '']",145
98c3e560-cb7c-4ed2-b17a-0f71f9f2ee57,"['Gulf Region, Fisheries and Oceans Canada', 'Fisheries and Oceans Canada']","['Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada']",471
d64add40-df3e-4e44-a2e0-f8f71f51a046,"['British Antarctic Survey', 'Koninklijk Belgisch Instituut voor Natuurwetenschappen']","['British Antarctic Survey', 'British Antarctic Survey', 'Royal Belgian Institute of Natural Sciences', 'British Antarctic Survey']",6665
6a98097c-e795-46c8-882d-54c2eb1e31be,"['Comisión Colombiana del Océano', 'Coral Reef Alliance']","['Coral Reef Alliance', 'Coral Reef Alliance', 'Coral Reef Alliance', 'Comisión Colombiana del Océano', 'Comisión Colombiana del Océano', 'Coral Reef Alliance', '', '', '']",153
