org,classification,source,Dataset_ids,Occurrences,WeightedOccurrences
US National Oceanographic Data Center,public,oceanexpert_id,[],0,0.0
Thünen Institute of Sea Fisheries,public,oceanexpert_id,[],0,0.0
Organización para la Sustentabilidad y Conservación del Medio Ambiente,public,rag,"['481f8003-db1e-435c-b012-91cd84573507', '79708a87-e90d-4993-819b-0e2ee12ad3bd', '2f225f89-ec58-4118-9389-589f1263436e', 'fa68d11f-fc9d-4002-8caa-c9e62dd12f4f', 'b62013ef-2619-41ce-8471-f7551003226e']",207,0.0
University of the West Indies,public,baseline,['dbb57c74-c34c-4502-b1d0-15324a7fabc4'],429,0.0
Università degli Studi di Pavia Centro Interdisciplinaire di Bioacustica E Ricerche Ambientali,public,oceanexpert_id,"['6c7069ec-4541-4b66-8211-528b60a7dd3d', 'ca341e27-4fb5-4b65-abff-9e0d75e0572b', 'ef41a91a-b2fa-4319-81dc-6c0285583761']",220,0.0
Pusat Penelitian Oseanografi. Lemabga Ilmu Pengetahuan Indonesia,public,oceanexpert_id,"['c51bd401-4ccc-4550-a35c-1b00e521e720', '48202606-f758-4974-ab2b-57aa154190e3', 'f7f30f55-6052-42bb-ba7b-506086394644', '4505624c-fbbd-4abc-833e-14cbb9fadc28']",3154,0.0
Ketos Ecology,public,manual,"['344cf0a8-e322-44e8-8d57-0f6ec795b6ca', '7b77d39e-8afb-4885-b224-3a1cccd7c4ba']",174,0.0
Israel Oceanographic and Limnological Research Ltd.; National Institute of Oceanography,public,manual,['baa2fd15-8103-4153-acaa-268bd41e5462'],710,0.0
"Basque Research and Technology Alliance AZTI, Marine Research",public,baseline,['80e7286d-6d8b-45ea-b279-eff2297752ae'],46156,0.0
Jamie Mullins,outlier,manual,['136ed188-9e93-4db5-9471-d5d4d58e0183'],9,0.0
"Universidad Nacional de Colombia; Marine and Coastal Research Institute ""Jose Benito Vives De Andréis""",public,baseline,['4d6cd31a-4559-4fd3-beff-4d47f5e2ee86'],2183,0.0
Duke University Marine Lab,public,baseline,['a666081f-572e-4371-b609-0d38362c3829'],3355,0.0
"College of Marine Science, University of South Florida",public,baseline,['b41e10e2-5717-4bb3-b06a-7840a62aebcc'],3121,0.0
KALANMBIO A. C.,public,manual,['fa37c84a-ae75-46bf-9bae-82ed34b1f911'],248,0.0
Sea Mammal Research Unit (SMRU),public,baseline,['7e5af076-62d8-4d54-a4a8-b4b755e454aa'],1726,0.0
